"position","Points:0","Points:1","Points:2"
0,5.196,22.913,-4.9957
0,5.19,22.89,-4.99
0,5.1738,22.916,-5.0059
0,5.2158,22.912,-4.9812
0,5.1996,22.938,-4.9972
0,5.1907,22.901,-5.0101
0,5.209,22.899,-4.9995
0,5.2131,22.92,-5.0026
0,5.1949,22.922,-5.0133
0,5.1501,22.911,-4.9531
0,5.1804,22.908,-4.9353
0,5.1873,22.942,-4.9405
0,5.1569,22.945,-4.9583
0,5.1852,22.841,-4.9913
0,5.1365,22.919,-5.0392
0,5.2626,22.905,-4.965
0,5.2138,22.983,-5.0129
0,5.1874,22.874,-5.0518
0,5.242,22.868,-5.0197
0,5.2544,22.93,-5.029
0,5.1998,22.936,-5.0611
0,5.1128,22.88,-4.9658
0,5.2039,22.87,-4.9123
0,5.2245,22.973,-4.9278
0,5.1335,22.983,-4.9813
0,5.1805,22.791,-4.9927
0,5.0992,22.921,-5.0724
0,5.3094,22.898,-4.9489
0,5.2281,23.028,-5.0286
0,5.1841,22.846,-5.0934
0,5.2751,22.836,-5.0399
0,5.2957,22.939,-5.0555
0,5.2047,22.949,-5.109
0,5.0756,22.849,-4.9784
0,5.2273,22.832,-4.8893
0,5.2617,23.004,-4.9152
0,5.11,23.021,-5.0043
0,5.1805,22.921,-4.9681
0,5.1568,22.932,-4.9255
0,5.133,22.943,-4.883
0,5.103,22.948,-4.8445
0,5.1175,22.96,-4.8396
0,5.0666,22.946,-4.8103
0,5.1101,22.982,-4.7955
0,5.0268,22.938,-4.7829
0,5.0317,22.963,-4.7866
0,5.0486,22.936,-4.7701
0,5.0365,22.951,-4.7719
0,5.0945,22.999,-4.7522
0,5.1065,22.984,-4.7504
0,5.0897,23.011,-4.7669
0,5.1115,23.008,-4.7541
0,4.9835,22.924,-4.7623
0,4.9983,22.998,-4.7734
0,5.0488,22.916,-4.7239
0,5.0128,22.962,-4.7293
0,5.0708,23.01,-4.7096
0,5.1068,22.965,-4.7042
0,5.0563,23.046,-4.7537
0,5.1216,23.038,-4.7154
0,4.9403,22.909,-4.7417
0,4.965,23.032,-4.7603
0,5.0491,22.897,-4.6778
0,4.989,22.973,-4.6868
0,5.047,23.021,-4.6671
0,5.1071,22.945,-4.6581
0,5.0229,23.081,-4.7406
0,5.1318,23.068,-4.6767
0,5.2055,22.909,-5.0127
0,5.2233,22.901,-5.0447
0,5.2533,22.896,-5.0831
0,5.2897,22.898,-5.1173
0,5.2389,22.884,-5.088
0,5.2462,22.861,-5.1321
0,5.2303,23.057,-4.8601
0,5.2255,23.033,-4.8537
0,5.2078,23.058,-4.8701
0,5.2503,23.056,-4.8459
0,5.2327,23.081,-4.8623
0,5.2255,23.044,-4.8742
0,5.2439,23.043,-4.8637
0,5.247,23.064,-4.8674
0,5.2286,23.065,-4.8779
0,5.185,23.053,-4.8169
0,5.2157,23.052,-4.7994
0,5.2209,23.086,-4.8055
0,5.1902,23.088,-4.823
0,5.2231,22.983,-4.8537
0,5.1701,23.058,-4.9029
0,5.2976,23.052,-4.8301
0,5.2446,23.127,-4.8793
0,5.2229,23.015,-4.915
0,5.2782,23.013,-4.8835
0,5.2875,23.075,-4.8946
0,5.2323,23.077,-4.9261
0,5.1492,23.02,-4.8282
0,5.2412,23.016,-4.7757
0,5.2568,23.119,-4.7942
0,5.1647,23.123,-4.8467
0,5.2206,22.934,-4.8537
0,5.1323,23.058,-4.9357
0,5.3449,23.048,-4.8144
0,5.2566,23.172,-4.8964
0,5.2204,22.987,-4.9559
0,5.3125,22.982,-4.9033
0,5.328,23.085,-4.9218
0,5.236,23.09,-4.9744
0,5.1133,22.987,-4.8396
0,5.2667,22.98,-4.752
0,5.2926,23.152,-4.7828
0,5.1392,23.159,-4.8704
0,5.2148,23.064,-4.8325
0,5.1911,23.075,-4.7899
0,5.1673,23.086,-4.7474
0,5.1375,23.091,-4.7087
0,5.1515,23.104,-4.7043
0,5.1017,23.088,-4.6739
0,5.1436,23.127,-4.6607
0,5.0626,23.079,-4.6458
0,5.0664,23.104,-4.6502
0,5.0847,23.078,-4.6332
0,5.0719,23.093,-4.6353
0,5.1278,23.144,-4.6176
0,5.1405,23.129,-4.6156
0,5.1222,23.155,-4.6325
0,5.1442,23.154,-4.62
0,5.0204,23.063,-4.6243
0,5.0315,23.137,-4.6376
0,5.0864,23.06,-4.5866
0,5.0482,23.104,-4.5927
0,5.104,23.155,-4.575
0,5.1423,23.111,-4.5689
0,5.0874,23.189,-4.6199
0,5.1534,23.185,-4.5822
0,4.9781,23.047,-4.6028
0,4.9967,23.171,-4.6249
0,5.0881,23.042,-4.54
0,5.0244,23.115,-4.5502
0,5.0803,23.166,-4.5325
0,5.144,23.093,-4.5223
0,5.0526,23.222,-4.6072
0,5.1626,23.217,-4.5444
0,5.2398,23.052,-4.8772
0,5.2576,23.044,-4.9091
0,5.2874,23.039,-4.9477
0,5.3232,23.042,-4.9825
0,5.2734,23.027,-4.9521
0,5.2813,23.003,-4.9958
0,5.366,22.706,-4.9435
0,5.3494,22.688,-4.9451
0,5.3497,22.722,-4.9537
0,5.3799,22.692,-4.9291
0,5.3802,22.725,-4.9377
0,5.3587,22.702,-4.9611
0,5.3718,22.689,-4.9504
0,5.3851,22.705,-4.9473
0,5.3721,22.718,-4.9579
0,5.3167,22.716,-4.9062
0,5.3384,22.695,-4.8884
0,5.3607,22.722,-4.8831
0,5.3389,22.743,-4.9009
0,5.3233,22.648,-4.961
0,5.3243,22.749,-4.9869
0,5.4148,22.66,-4.913
0,5.4158,22.761,-4.9389
0,5.3513,22.689,-5.009
0,5.3905,22.651,-4.977
0,5.4305,22.699,-4.9674
0,5.3914,22.738,-4.9995
